video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
ebM-aOgGSY8,vg6iInUabUI,42FLjX8M2j8,Px0QxsPlr7Y,eRYR2h4lQfc,eO6LitJH2hM,q72DSbK5j5w,oEE_pI-TkT8,9md7Q3uByF8,GvzexXgo-mM,BSj8OGYvKUE,A7Jbn66GvhA,71WsLmAG4X4,-KIboDS4w8M,ZqoNWt7fs4Q,D_XdEAYvuo0,FdadLu2VHEY,vB7K6OcN-po,ZrnGlxBsngQ,o9yI35tRGus,LnBtTYxZuCs
-rXvKrLVV3s,,,,,,,,,,,,,,,,,,,,
3Sy4TwxUBFQ,wDxgbBV2Udk,2Axj1owttYE,olWpeEyhA8U,_BGk95j54KY,mX7bb8b-0R0,La5pIuNovB0,ETOPe6sulBc,91qGBXFR03I,g3wGtqylAvA,FgekJBtUGrM,8gInQiRveTo,eUE81-3lYeU,Qqr9T2htAHc,BSj8OGYvKUE,7v_t3nfKI60,ZrnGlxBsngQ,2xrtfTl3DL0,LPiuLXv3rb8,C5sX-jQ_M8w,q72DSbK5j5w
9md7Q3uByF8,,,,,,,,,,,,,,,,,,,,
YhjFKadaVBY,,,,,,,,,,,,,,,,,,,,
Vd9SJo5_amU,,,,,,,,,,,,,,,,,,,,
UUcNkuRAur0,,,,,,,,,,,,,,,,,,,,
o9yI35tRGus,,,,,,,,,,,,,,,,,,,,
RKO3gAN-_FI,kknQvuGO0-0,y_9vJjN72D0,A8hlV-7MfSU,IjuVGy_pQ60,1C70BbnNqLI,z3RnEGoNlC4,eZPtQqJdp3w,BiQtulHv7Wc,M44qmyo6R08,3hkwOceJ4ew,M916RuSiUOg,Pb0xbXvQs8I,3tEkhyj1Ghk,-cVlph9KOAQ,rxZ9Tl5s0y0,INbj9Ag1sw4,gqUhYIa0L-A,kg2HU1k93Tw,a5DG5NWXe8I,i1rsfd7pCTs
IjuVGy_pQ60,a5DG5NWXe8I,7B7kTkxkYFU,iAq_l5eTI8M,gqUhYIa0L-A,kknQvuGO0-0,3tEkhyj1Ghk,G9w7-Eky_-o,bXBiVv4265s,-E1c2gzos-E,ruo_NR5Y1Fs,i1rsfd7pCTs,BiQtulHv7Wc,RFYw_egHUSE,eZPtQqJdp3w,hd0bBW54UXQ,9mWzbo4Emnk,M916RuSiUOg,4t2aQ3mVoI0,INbj9Ag1sw4,RKO3gAN-_FI
i1rsfd7pCTs,kknQvuGO0-0,RKO3gAN-_FI,IjuVGy_pQ60,A8hlV-7MfSU,y_9vJjN72D0,H92WSFkHWKw,M916RuSiUOg,KkvIGBILlfk,M44qmyo6R08,BiQtulHv7Wc,z3RnEGoNlC4,eZPtQqJdp3w,gqUhYIa0L-A,3hkwOceJ4ew,INbj9Ag1sw4,UvLrrBjjLBg,zTU_1vHq6pQ,2MK8bMVhPbA,mTbU6AAujhA,0qAwUU1qyXk
3tEkhyj1Ghk,875TCz3xStw,8KJr_vTsHT4,bXBiVv4265s,kknQvuGO0-0,-knwRu3TxCY,gqUhYIa0L-A,M44qmyo6R08,kg2HU1k93Tw,INbj9Ag1sw4,DYO2v14EVJk,BiQtulHv7Wc,M916RuSiUOg,urliRXrfeVI,eZPtQqJdp3w,0qAwUU1qyXk,zTU_1vHq6pQ,uNPF5duLGLk,3ALagyOT3v0,QG2wf4mELLo,mTbU6AAujhA
eZPtQqJdp3w,a7YlMr-pKEc,ACBeb3M23JM,IjuVGy_pQ60,kknQvuGO0-0,RKO3gAN-_FI,bXBiVv4265s,3tEkhyj1Ghk,BiQtulHv7Wc,gqUhYIa0L-A,M916RuSiUOg,2MK8bMVhPbA,z3RnEGoNlC4,vZ_CjqriUHk,INbj9Ag1sw4,3hkwOceJ4ew,vsJWgAC-W20,i1rsfd7pCTs,7NKjK8VV7uA,a5DG5NWXe8I,A8hlV-7MfSU
gqUhYIa0L-A,PGmg2tH34yE,I0x_TvYPRK0,_K2XPxeyiKw,EWzy3EA19i4,kknQvuGO0-0,WvuC1Jmu62E,i1rsfd7pCTs,3tEkhyj1Ghk,NAsb4n2x6Zg,xC3ktoLzsXk,y_9vJjN72D0,M916RuSiUOg,QnoHebswwdE,0qAwUU1qyXk,Xh-jy0jbcok,kg2HU1k93Tw,QG2wf4mELLo,vsJWgAC-W20,zTU_1vHq6pQ,jEIRFNlgrN4
M916RuSiUOg,0qAwUU1qyXk,4n3VoX-GBpQ,9mWzbo4Emnk,3tEkhyj1Ghk,INbj9Ag1sw4,BiQtulHv7Wc,kknQvuGO0-0,WvuC1Jmu62E,QG2wf4mELLo,eZPtQqJdp3w,zTU_1vHq6pQ,gqUhYIa0L-A,UeypVIH0Gdo,EOvOEWoRkKU,SZmdvRY5HBw,_gU0J81jXMw,RKO3gAN-_FI,rxZ9Tl5s0y0,FCGjfxbT_oE,PGmg2tH34yE
z3RnEGoNlC4,,,,,,,,,,,,,,,,,,,,
BiQtulHv7Wc,INbj9Ag1sw4,3tEkhyj1Ghk,ACBeb3M23JM,M44qmyo6R08,p8sx-6IKn-s,kknQvuGO0-0,gqUhYIa0L-A,i1rsfd7pCTs,M916RuSiUOg,tjBW8-vdBqk,HDE68PqPjXk,AQmiMaz0j7Y,eZPtQqJdp3w,qBpL7NJObZ4,kg2HU1k93Tw,RKO3gAN-_FI,0qAwUU1qyXk,IjuVGy_pQ60,PGmg2tH34yE,2MK8bMVhPbA
M44qmyo6R08,HDE68PqPjXk,kknQvuGO0-0,HSkKoSKaA9w,y1hck9IbPNw,KcwxpItFMjs,AIZA6olC-X0,VKxmJ1z3dw4,vshkGs2OQdA,xjIH_zCRfzQ,BiQtulHv7Wc,PxBfiScjBbo,jsgxn5JkfkU,RKO3gAN-_FI,3hkwOceJ4ew,wgezodylaHE,3tEkhyj1Ghk,ZFFa1jKfTPY,7NKjK8VV7uA,11TC2qDslKc,2MK8bMVhPbA
